level_a,level_b,n_a,n_b,mean_a,mean_b,d,abs_d,magnitude
pure_ai,pure_cbr_tpl,250,250,2.332,1.3,1.1106786465051965,1.1106786465051965,large
hybrid,pure_cbr_tpl,250,250,2.244,1.3,0.9510772908181805,0.9510772908181805,large
pure_cbr_llm,pure_cbr_tpl,250,250,2.168,1.3,0.9282570176135235,0.9282570176135235,large
baseline,pure_cbr_tpl,250,250,2.096,1.3,0.8262560410832804,0.8262560410832804,large
baseline,pure_ai,250,250,2.096,2.332,-0.20451447981077633,0.20451447981077633,small
pure_ai,pure_cbr_llm,250,250,2.332,2.168,0.14507665330582503,0.14507665330582503,negligible
baseline,hybrid,250,250,2.096,2.244,-0.12276187056312772,0.12276187056312772,negligible
hybrid,pure_ai,250,250,2.244,2.332,-0.07467623448279606,0.07467623448279606,negligible
hybrid,pure_cbr_llm,250,250,2.244,2.168,0.06423817329896879,0.06423817329896879,negligible
baseline,pure_cbr_llm,250,250,2.096,2.168,-0.06213710149843996,0.06213710149843996,negligible
