level_a,level_b,n_a,n_b,mean_a,mean_b,d,abs_d,magnitude
constructive,rule_based,250,250,2.316,1.908,0.3463864957953804,0.3463864957953804,small
constructive,traditional,250,250,2.316,1.952,0.3084646118289517,0.3084646118289517,small
constructive,experiential,250,250,2.316,1.956,0.29722929072024395,0.29722929072024395,small
constructive,socratic,250,250,2.316,2.008,0.2554407062728032,0.2554407062728032,small
rule_based,socratic,250,250,1.908,2.008,-0.09088737392809296,0.09088737392809296,negligible
socratic,traditional,250,250,2.008,1.952,0.050790047690934356,0.050790047690934356,negligible
experiential,socratic,250,250,1.956,2.008,-0.04578059670886193,0.04578059670886193,negligible
experiential,rule_based,250,250,1.956,1.908,0.043391502028736186,0.043391502028736186,negligible
rule_based,traditional,250,250,1.908,1.952,-0.04104426089417055,0.04104426089417055,negligible
experiential,traditional,250,250,1.956,1.952,0.003608446258492904,0.003608446258492904,negligible
