persona,architecture,mean_abs_diff,pearson_r,n
constructive,baseline,0.88,0.542193647654047,25
constructive,hybrid,0.92,0.5614793211624852,25
constructive,pure_ai,0.64,0.674283965820413,25
constructive,pure_cbr_llm,1.08,0.22478949966408843,25
constructive,pure_cbr_tpl,0.52,-0.04924473669043991,25
experiential,baseline,1.44,-0.18189830685121236,25
experiential,hybrid,1.12,0.1406553209617482,25
experiential,pure_ai,1.0,0.43524046205151967,25
experiential,pure_cbr_llm,0.88,0.4497130923594072,25
experiential,pure_cbr_tpl,0.32,0.22278319716975165,25
rule_based,baseline,0.84,-0.1363636363636363,25
rule_based,hybrid,1.2,0.16578780189698675,25
rule_based,pure_ai,0.88,0.3798563746794509,25
rule_based,pure_cbr_llm,0.96,0.2495131446207221,25
rule_based,pure_cbr_tpl,0.48,-0.020344711469278992,25
socratic,baseline,1.56,-0.026376544409923583,25
socratic,hybrid,0.96,0.23448415270421968,25
socratic,pure_ai,0.88,0.3046763041560261,25
socratic,pure_cbr_llm,0.92,0.159169747047639,25
socratic,pure_cbr_tpl,0.24,0.34247475971078656,25
traditional,baseline,0.32,0.8100038343467527,25
traditional,hybrid,0.96,0.30922072384435484,25
traditional,pure_ai,1.2,0.14865629437754604,25
traditional,pure_cbr_llm,1.2,0.1321491546003626,25
traditional,pure_cbr_tpl,0.32,0.09405667402809194,25
