level_a,level_b,n_a,n_b,mean_a,mean_b,d,abs_d,magnitude
hybrid,pure_cbr_tpl,250,250,2.92,2.124,0.623545992892371,0.623545992892371,medium
pure_cbr_llm,pure_cbr_tpl,249,250,2.8032128514056227,2.124,0.5318681466061381,0.5318681466061381,medium
pure_ai,pure_cbr_tpl,249,250,2.791164658634538,2.124,0.5218598911276772,0.5218598911276772,medium
baseline,pure_cbr_tpl,250,250,2.708,2.124,0.4634289974620006,0.4634289974620006,small
baseline,hybrid,250,250,2.708,2.92,-0.16094316979538795,0.16094316979538795,negligible
hybrid,pure_ai,250,249,2.92,2.791164658634538,0.09651814742596418,0.09651814742596418,negligible
hybrid,pure_cbr_llm,250,249,2.92,2.8032128514056227,0.08758035686747459,0.08758035686747459,negligible
baseline,pure_cbr_llm,250,249,2.708,2.8032128514056227,-0.07225334266720664,0.07225334266720664,negligible
baseline,pure_ai,250,249,2.708,2.791164658634538,-0.06304534065853132,0.06304534065853132,negligible
pure_ai,pure_cbr_llm,249,249,2.791164658634538,2.8032128514056227,-0.009022238850560412,0.009022238850560412,negligible
