level_a,level_b,n_a,n_b,mean_a,mean_b,d,abs_d,magnitude
constructive,rule_based,249,250,2.9518072289156625,2.348,0.4481652345281023,0.4481652345281023,small
rule_based,socratic,250,250,2.348,2.892,-0.4152209732610771,0.4152209732610771,small
constructive,experiential,249,249,2.9518072289156625,2.534136546184739,0.3154783979447716,0.3154783979447716,small
experiential,socratic,249,250,2.534136546184739,2.892,-0.27825825288379513,0.27825825288379513,small
constructive,traditional,249,250,2.9518072289156625,2.62,0.24625402637922933,0.24625402637922933,small
socratic,traditional,250,250,2.892,2.62,0.2075891170339914,0.2075891170339914,small
rule_based,traditional,250,250,2.348,2.62,-0.20726936288195827,0.20726936288195827,small
experiential,rule_based,249,250,2.534136546184739,2.348,0.14449941986489373,0.14449941986489373,negligible
experiential,traditional,249,250,2.534136546184739,2.62,-0.06664943443923783,0.06664943443923783,negligible
constructive,socratic,249,250,2.9518072289156625,2.892,0.04445595233667029,0.04445595233667029,negligible
