persona,architecture,mean_abs_diff,pearson_r,n
constructive,baseline,1.0,0.47585525035388093,25
constructive,hybrid,1.24,0.30288687595323466,25
constructive,pure_ai,1.125,0.4345171114453966,24
constructive,pure_cbr_llm,1.16,0.5166451258347382,25
constructive,pure_cbr_tpl,1.28,0.10020368858250146,25
experiential,baseline,1.44,0.2080985695783415,25
experiential,hybrid,1.64,0.15426002194827093,25
experiential,pure_ai,1.28,0.47101248057765244,25
experiential,pure_cbr_llm,1.0,0.44152018452093883,24
experiential,pure_cbr_tpl,1.32,0.1667200906083749,25
rule_based,baseline,1.2,0.18413573105258862,25
rule_based,hybrid,1.44,0.26683802511180754,25
rule_based,pure_ai,1.36,0.3453988878755562,25
rule_based,pure_cbr_llm,1.48,0.43810901932811663,25
rule_based,pure_cbr_tpl,1.44,0.16631940824565222,25
socratic,baseline,1.28,0.34365034183751647,25
socratic,hybrid,1.16,0.27722737479253473,25
socratic,pure_ai,1.48,0.2686512837528374,25
socratic,pure_cbr_llm,1.56,-0.09351130404475623,25
socratic,pure_cbr_tpl,1.2,0.14619391905278756,25
traditional,baseline,1.12,0.15820649317866955,25
traditional,hybrid,1.16,0.44977584881884813,25
traditional,pure_ai,1.76,0.12769390151481957,25
traditional,pure_cbr_llm,1.36,0.2508701731844269,25
traditional,pure_cbr_tpl,1.28,0.12710076082586957,25
