level_a,level_b,n_a,n_b,mean_a,mean_b,d,abs_d,magnitude
pure_ai,pure_cbr_tpl,50,50,2.18,1.1,1.2789699633469407,1.2789699633469407,large
pure_cbr_llm,pure_cbr_tpl,50,50,1.9,1.1,1.268150278241947,1.268150278241947,large
hybrid,pure_cbr_tpl,50,50,2.14,1.1,1.2437631916181977,1.2437631916181977,large
baseline,pure_cbr_tpl,50,50,1.74,1.1,0.8038542057058032,0.8038542057058032,large
baseline,pure_ai,50,50,1.74,2.18,-0.3927472552470166,0.3927472552470166,small
baseline,hybrid,50,50,1.74,2.14,-0.35903337654302336,0.35903337654302336,small
pure_ai,pure_cbr_llm,50,50,2.18,1.9,0.27735231957026313,0.27735231957026313,small
hybrid,pure_cbr_llm,50,50,2.14,1.9,0.2393657880975712,0.2393657880975712,small
baseline,pure_cbr_llm,50,50,1.74,1.9,-0.16502739940140684,0.16502739940140684,negligible
hybrid,pure_ai,50,50,2.14,2.18,-0.03481014970394598,0.03481014970394598,negligible
