level_a,level_b,n_a,n_b,mean_a,mean_b,d,abs_d,magnitude
constructive,experiential,50,50,2.0,1.64,0.3572402255879579,0.3572402255879579,small
experiential,socratic,50,50,1.64,1.88,-0.24148302132194893,0.24148302132194893,small
constructive,rule_based,50,50,2.0,1.74,0.23937010114230797,0.23937010114230797,small
constructive,traditional,50,50,2.0,1.8,0.19051586888313604,0.19051586888313604,negligible
experiential,traditional,50,50,1.64,1.8,-0.16930873544393227,0.16930873544393227,negligible
rule_based,socratic,50,50,1.74,1.88,-0.13043498799742487,0.13043498799742487,negligible
constructive,socratic,50,50,2.0,1.88,0.10969385650766983,0.10969385650766983,negligible
experiential,rule_based,50,50,1.64,1.74,-0.10149191902765842,0.10149191902765842,negligible
socratic,traditional,50,50,1.88,1.8,0.07718449849879581,0.07718449849879581,negligible
rule_based,traditional,50,50,1.74,1.8,-0.05835021952078605,0.05835021952078605,negligible
