persona,architecture,mean_abs_diff,pearson_r,n
constructive,baseline,0.6,0.6577935144802719,5
constructive,hybrid,1.6,-0.37158026780876907,5
constructive,pure_ai,1.0,0.5897678246195884,5
constructive,pure_cbr_llm,0.4,0.6454972243679028,5
constructive,pure_cbr_tpl,0.0,,5
experiential,baseline,0.4,-0.24999999999999997,5
experiential,hybrid,1.2,0.0,5
experiential,pure_ai,1.0,-0.2988071523335984,5
experiential,pure_cbr_llm,1.6,-0.5144957554275266,5
experiential,pure_cbr_tpl,0.2,,5
rule_based,baseline,1.6,,5
rule_based,hybrid,0.6,0.9185586535436917,5
rule_based,pure_ai,1.2,-0.14002800840280094,5
rule_based,pure_cbr_llm,0.8,0.784464540552736,5
rule_based,pure_cbr_tpl,0.0,,5
socratic,baseline,1.0,0.5838742081211421,5
socratic,hybrid,1.0,0.0,5
socratic,pure_ai,0.6,0.7647058823529412,5
socratic,pure_cbr_llm,0.6,0.4082482904638631,5
socratic,pure_cbr_tpl,0.4,,5
traditional,baseline,0.2,,5
traditional,hybrid,1.4,-0.2192645048267573,5
traditional,pure_ai,1.6,0.74535599249993,5
traditional,pure_cbr_llm,0.4,0.0,5
traditional,pure_cbr_tpl,0.4,-0.24999999999999997,5
